FirstName,LastName,Mobile,Birthday,Street,City
Julie,Kristoffersen,98196704,1970-03-01,Torggata 35,Bergen
Malin,Jacobsen,46918273,1954-12-13,Furuveien 28,Trondheim
Oyvind,Andersen,46791715,1960-12-13,Nedre Langgate 61,Stavanger
Henrik,Bjerke,99749059,1979-04-26,Ekeveien 17,Lillehammer
Fredrik,Vik,92793766,1966-03-06,Skolegata 79,Trondheim
Nora,Halvorsen,43129719,1982-02-07,Bjorkeveien 83,Lillehammer
Erik,Ellingsen,91846154,1966-11-05,Torggata 70,Moss
Silje,Amundsen,98578800,1984-10-28,Ekeveien 16,Horten
Kjell,Vik,44319527,1986-07-19,Havnegata 42,Oslo
Trond,Jacobsen,47214833,1969-08-19,Storgata 4,Lillehammer
Julie,Eriksen,46028123,1979-06-08,Kirkegata 81,Drammen
Marit,Halvorsen,44326813,1965-02-22,Granveien 18,Hamar
Ingrid,Olsen,97502182,1975-07-02,Granveien 45,Sandefjord
Linnea,Henriksen,45007353,1959-06-22,Grensen 13,Bergen
Stian,Myhre,95710533,1979-11-12,Fjellveien 50,Stavanger
Stian,Moen,42006020,1989-07-11,Havnegata 29,Skien
Rune,Myhre,49920087,1966-11-07,Fjellveien 78,Drammen
Roar,Lund,93405126,1985-10-16,Fjellveien 40,Tromso
Lars,Larsen,97049358,1964-02-09,Bergveien 57,Lillehammer
Camilla,Kristiansen,92152865,1998-03-27,Grensen 83,Kristiansand
Maja,Holm,45400373,1996-10-21,Elvegata 72,Sandefjord
Tone,Johansen,43507983,1982-10-12,Storgata 93,Alesund
Guro,Ellingsen,99123353,1981-01-20,Grensen 13,Bergen
Morten,Ruud,97782437,1980-01-06,Sjogata 23,Trondheim
Tor,Mathisen,97278864,1984-12-07,Prestegardsveien 28,Tromso
Kari,Ellingsen,47505647,2003-09-21,Prestegardsveien 96,Oslo
Ingrid,Holm,91932417,1978-01-20,Rosenlundgata 85,Halden
Stian,Aas,41632402,1973-11-13,Prestegardsveien 55,Tonsberg
Rune,Haugen,95808861,1958-09-13,Parkveien 87,Stavanger
Tone,Hansen,93625058,1958-07-23,Bjorkeveien 71,Bodo
Tone,Vik,41527799,2002-05-28,Havnegata 17,Skien
Maja,Holm,42189745,1983-03-02,Nedre Langgate 13,Drammen
Nora,Solberg,96108048,2004-11-01,Sjogata 61,Stavanger
Marit,Bjerke,40168267,1990-11-18,Grensen 45,Fredrikstad
Vegard,Pedersen,45562794,1970-11-13,Rosenlundgata 68,Fredrikstad
Julie,Andersen,42255479,1968-08-14,Ovre Langgate 39,Drammen
Nils,Hansen,92760476,1980-06-23,Elvegata 32,Kristiansand
Camilla,Amundsen,45906626,1994-05-17,Solbakken 66,Oslo
Hanne,Lund,95824832,1971-04-22,Lindeveien 33,Drammen
Anne,Karlsen,96758619,1986-08-10,Parkveien 6,Molde
Solveig,Lund,40334125,1988-11-12,Bjorkeveien 74,Alesund
Anne,Kristoffersen,45770472,1975-07-22,Ekeveien 56,Bergen
Astrid,Ruud,40595021,2004-06-02,Ovre Langgate 54,Bergen
Camilla,Hagen,95204783,1980-06-01,Storgata 58,Bodo
Nils,Halvorsen,93626143,1960-07-08,Sondre gate 83,Stavanger
Julie,Amundsen,90119463,1997-09-23,Fjellveien 35,Larvik
Astrid,Johnsen,46879986,1974-05-26,Grensen 58,Larvik
Linnea,Dahl,91951154,1960-09-19,Furuveien 40,Bergen
Lars,Jacobsen,90044426,1968-04-16,Kirkegata 5,Fredrikstad
Jonas,Solberg,43262360,1958-02-15,Granveien 10,Lillehammer
Petter,Haugen,94848059,1953-06-06,Sondre gate 64,Bodo
Amalie,Kristoffersen,95228737,1984-02-20,Nordre gate 10,Moss
Maja,Nilsen,46419033,1968-07-22,Bjorkeveien 49,Molde
Nils,Vik,48262670,1999-02-04,Jernbanegata 84,Hamar
Sindre,Bjerke,93089839,1952-08-19,Lindeveien 57,Drammen
Andreas,Jensen,46993976,1957-09-09,Storgata 38,Oslo
Fredrik,Haugen,47219627,1977-01-10,Storgata 49,Tonsberg
Ida,Haugen,96657088,1965-03-23,Havnegata 64,Molde
Guro,Eriksen,46539044,1954-04-04,Nedre Langgate 23,Skien
Oyvind,Fossum,97473716,1959-01-01,Nordre gate 2,Molde
Guro,Solberg,94528630,1961-03-07,Lindeveien 93,Alesund
Petter,Haugen,92431289,1969-01-23,Granveien 2,Moss
Ida,Mathisen,96107852,1984-10-27,Ovre Langgate 28,Molde
Magnus,Jacobsen,94668331,1968-06-06,Nedre Langgate 16,Stavanger
Vegard,Strand,41042432,1969-10-01,Grensen 6,Bergen
Silje,Moen,92832854,1965-11-06,Jernbanegata 79,Alesund
Rune,Dahl,94628057,1974-07-13,Ekeveien 78,Kristiansand
Camilla,Strand,42329550,1991-09-13,Furuveien 64,Alesund
Hedda,Nilsen,49502717,1985-07-01,Kirkegata 33,Bergen
Oyvind,Myhre,99945855,1996-04-19,Solbakken 37,Kristiansand
Sindre,Nilsen,90312632,1977-01-06,Bergveien 8,Trondheim
Anne,Johansen,90545671,1984-02-25,Solbakken 40,Sandefjord
Jonas,Hansen,99072350,1987-07-07,Havnegata 38,Fredrikstad
Espen,Strand,92987038,1975-10-24,Prestegardsveien 88,Bodo
Hanne,Jensen,95680111,1993-04-05,Storgata 24,Tromso
Hanne,Olsen,45437481,1970-02-15,Sjogata 61,Kristiansand
Line,Mathisen,90743045,2004-11-02,Osterhaugs gate 72,Tonsberg
Linnea,Bjerke,49572808,1994-12-04,Ekeveien 96,Kristiansand
Maja,Nygard,41439545,1985-08-10,Fjellveien 68,Kristiansand
Thea,Bakke,49817087,1986-03-12,Bjorkeveien 59,Skien
Marit,Jensen,46202677,1969-06-02,Solbakken 7,Larvik
Rune,Eriksen,45999799,1963-03-08,Lindeveien 8,Moss
Hanne,Vik,98583488,1979-02-18,Bjorkeveien 94,Sandefjord
Tor,Jensen,98522097,1955-06-14,Grensen 68,Halden
Fredrik,Karlsen,43858352,1974-09-01,Ovre Langgate 93,Stavanger
Erik,Andersen,44413379,1967-07-15,Kirkegata 20,Tonsberg
Andreas,Jacobsen,47901384,2000-10-14,Osterhaugs gate 26,Kristiansand
Tor,Holm,96586830,1969-08-16,Fjellveien 21,Tromso
Anne,Halvorsen,43052956,1968-01-02,Storgata 89,Alesund
Kristin,Johnsen,40472537,1981-05-25,Ovre Langgate 65,Bodo
Elin,Lund,49528689,1980-04-03,Storgata 13,Bodo
Line,Bakke,92587970,1958-04-05,Osterhaugs gate 55,Sandefjord
Nils,Fossum,42092333,1974-11-17,Torggata 36,Sandefjord
Amalie,Solberg,97851552,1965-02-01,Kirkegata 12,Tonsberg
Amalie,Amundsen,95427721,1958-06-13,Skolegata 76,Stavanger
Petter,Amundsen,46809882,1969-09-17,Elvegata 87,Hamar
Hedda,Henriksen,47521494,1982-03-03,Skolegata 60,Stavanger
Petter,Bakken,42841743,1970-12-10,Bjorkeveien 61,Tonsberg
Morten,Moen,90913350,1997-12-17,Ovre Langgate 73,Drammen
Bjorn,Eriksen,95646192,1977-10-10,Ovre Langgate 8,Bergen
Camilla,Hansen,95877468,1975-05-12,Parkveien 31,Halden
